Fields,sub,WT_ETH,WT_BNB,Sonny_BTC,Moon_Rocket_CAKE,ETH_Infinity,Moon_Rocket_BNB,Ultimate_Scalper_BNB,Moon_Rocket_ETH,SuperTrader_ETH,SuperTrader_BNB
_name (string),,WT_ETH,WT_BNB,Sonny_BTCP,Moon_Cake,ETH_Infinity,Moon_BNB,Ultimate_BNB,Moon_ETH,ST_ETH,Ultimate_BNB
_feeParams (tuple),pctDeposit,0,0,0,0,0,0,0,0,0,0
_feeParams (tuple),pctWithdraw,45,45,45,45,45,45,45,45,45,45
_feeParams (tuple),pctPerfBurning,250,250,250,250,250,250,250,250,250,250
_feeParams (tuple),pctPerfStakers,250,250,250,250,250,250,250,250,250,250
_feeParams (tuple),pctPerfAlgoDev,500,500,500,500,500,500,500,500,500,500
_feeParams (tuple),pctPerfUpbots,500,500,500,500,500,500,500,500,500,500
_feeParams (tuple),pctPerfPartners,0,0,0,0,0,0,0,0,0,0
_feeParams (tuple),pctTradUpbots,8,8,8,8,8,8,8,8,8,8
_feeParams (tuple),addrStakers,0x6E55988a348262861A1567A5030D3436cfa6b4ce,0x6E55988a348262861A1567A5030D3436cfa6b4ce,0x6E55988a348262861A1567A5030D3436cfa6b4ce,0x6E55988a348262861A1567A5030D3436cfa6b4ce,0x6E55988a348262861A1567A5030D3436cfa6b4ce,0x6E55988a348262861A1567A5030D3436cfa6b4ce,0x6E55988a348262861A1567A5030D3436cfa6b4ce,0x6E55988a348262861A1567A5030D3436cfa6b4ce,0x6E55988a348262861A1567A5030D3436cfa6b4ce,0x6E55988a348262861A1567A5030D3436cfa6b4ce
_feeParams (tuple),addrAlgoDev,0x81e1b56039f35F19f17d3C5dC9a3EDC6Ca1D6F4A,0x81e1b56039f35F19f17d3C5dC9a3EDC6Ca1D6F4A,0x186D3F21fF43FD964c6142E228c10771CE3c5211,0x81e1b56039f35F19f17d3C5dC9a3EDC6Ca1D6F4A,0x3F1251e37B30715855292dA1d1c5F45adC18fDC3,0x81e1b56039f35F19f17d3C5dC9a3EDC6Ca1D6F4A,0x3F1251e37B30715855292dA1d1c5F45adC18fDC3,0x81e1b56039f35F19f17d3C5dC9a3EDC6Ca1D6F4A,0x3F1251e37B30715855292dA1d1c5F45adC18fDC3,0x3F1251e37B30715855292dA1d1c5F45adC18fDC3
_feeParams (tuple),addrUpbots,0x12cA989fce892bc77EEAC6b4E2e609Cb9050FcCA,0x12cA989fce892bc77EEAC6b4E2e609Cb9050FcCA,0x12cA989fce892bc77EEAC6b4E2e609Cb9050FcCA,0x12cA989fce892bc77EEAC6b4E2e609Cb9050FcCA,0x12cA989fce892bc77EEAC6b4E2e609Cb9050FcCA,0x12cA989fce892bc77EEAC6b4E2e609Cb9050FcCA,0x12cA989fce892bc77EEAC6b4E2e609Cb9050FcCA,0x12cA989fce892bc77EEAC6b4E2e609Cb9050FcCA,0x12cA989fce892bc77EEAC6b4E2e609Cb9050FcCA,0x12cA989fce892bc77EEAC6b4E2e609Cb9050FcCA
_feeParams (tuple),addrPartner,0x12cA989fce892bc77EEAC6b4E2e609Cb9050FcCA,0x12cA989fce892bc77EEAC6b4E2e609Cb9050FcCA,0x12cA989fce892bc77EEAC6b4E2e609Cb9050FcCA,0x12cA989fce892bc77EEAC6b4E2e609Cb9050FcCA,0x12cA989fce892bc77EEAC6b4E2e609Cb9050FcCA,0x12cA989fce892bc77EEAC6b4E2e609Cb9050FcCA,0x12cA989fce892bc77EEAC6b4E2e609Cb9050FcCA,0x12cA989fce892bc77EEAC6b4E2e609Cb9050FcCA,0x12cA989fce892bc77EEAC6b4E2e609Cb9050FcCA,0x12cA989fce892bc77EEAC6b4E2e609Cb9050FcCA
